R,a0,a2,a4,b3,b5,E
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.86,0.25,-0.00843938,-0.00188389,-0.000257627,0.0216418,227.724
0.86,0.26,-0.0267278,-8.55422e-05,-0.000692749,0.0124056,152.812
0.86,0.27,-0.0341872,0.00209349,-0.00198589,0.000238137,118.033
0.86,0.28,-0.0341684,0.00202066,-0.00205678,0.000237395,115.055
0.86,0.29,-0.0340179,0.0019371,-0.00211957,0.000234522,112.33
0.86,0.3,-0.0337321,0.00184332,-0.00217329,0.000229426,109.833
0.86,0.31,-0.0333074,0.00173989,-0.00221691,0.000222028,107.542
0.86,0.32,-0.0327399,0.00162748,-0.00224938,0.000212268,105.438
0.86,0.33,-0.032026,0.00150679,-0.00226963,0.000200101,103.506
0.86,0.34,-0.0311619,0.00137863,-0.00227653,0.000185502,101.729
0.86,0.35,-0.0301436,0.00124388,-0.00226893,0.000168468,100.096
0.86,0.36,-0.0289674,0.0011035,-0.00224565,0.000149016,98.595
0.86,0.37,-0.0276293,0.000958536,-0.00220543,0.000127189,97.2154
0.86,0.38,-0.0261252,0.000810107,-0.00214698,0.000103056,95.9482
0.86,0.39,-0.0244511,0.000659438,-0.00206895,7.67175e-05,94.7853
0.86,0.4,-0.0226027,0.000507843,-0.00196994,4.83035e-05,93.7194
0.86,0.41,-0.0205757,0.000356738,-0.00184847,1.79817e-05,92.7437
