R,a0,a2,a4,b3,b5,E
1.36,0.21,-0.00878183,-0.000304639,0.000169711,0.0190387,220.992
1.36,0.22,-0.0310758,0.00158537,-7.9177e-05,0.0102487,157.165
1.36,0.23,-0.0428994,0.00364641,-0.00161075,0.000261614,130.911
1.36,0.24,-0.0440623,0.00369642,-0.00171682,0.000275422,126.462
0,0,0,0,0,0,0
1.37,0.21,-0.0100601,-0.000208923,0.000206491,0.0185492,216.915
1.37,0.22,-0.0324465,0.00178067,-0.000157014,0.00952702,154.353
1.37,0.23,-0.0430704,0.00367159,-0.00161229,0.000262477,131.126
1.37,0.24,-0.0442398,0.00372229,-0.00171838,0.000276331,126.67
1.38,0.2,0.00880753,-0.0015791,-0.00464777,0.0276919,323.351
1.38,0.21,-0.0113323,-0.000113709,0.000237409,0.0180674,213.035
1.38,0.22,-0.0338278,0.00198817,-0.000245721,0.00876893,151.656
1.38,0.23,-0.0432414,0.0036968,-0.00161392,0.000263354,131.347
1.38,0.24,-0.0444171,0.00374815,-0.00172004,0.000277252,126.883
1.39,0.2,0.00793474,-0.00148591,-0.00286047,0.0269344,313.829
1.39,0.21,-0.0125973,-1.85134e-05,0.000262793,0.0175917,209.333
1.39,0.22,-0.0352231,0.00220907,-0.00034689,0.00796638,149.081
1.39,0.23,-0.0434123,0.00372203,-0.00161565,0.000264244,131.573
1.39,0.24,-0.0445942,0.00377403,-0.0017218,0.000278185,127.101
1.4,0.2,0.00700299,-0.00138841,-0.00189606,0.0261881,304.81
1.4,0.21,-0.0138543,7.71572e-05,0.000282896,0.0171206,205.793
1.4,0.22,-0.0366356,0.00244469,-0.000462806,0.00710753,146.637
1.4,0.23,-0.0435831,0.00374729,-0.00161747,0.000265149,131.806
1.4,0.24,-0.0447712,0.00379991,-0.00172365,0.000279131,127.325
1.41,0.2,0.00604862,-0.00129015,-0.00135694,0.0254832,296.55
1.41,0.21,-0.0151029,0.000173795,0.000297917,0.0166525,202.401
1.41,0.22,-0.0380683,0.00269666,-0.000597021,0.00617304,144.337
1.41,0.23,-0.043754,0.00377259,-0.00161939,0.000266068,132.043
1.41,0.24,-0.0449479,0.0038258,-0.0017256,0.000280091,127.555
1.42,0.2,0.00507448,-0.0011919,-0.00101723,0.0248173,288.968
1.42,0.21,-0.0163428,0.00027189,0.000308005,0.0161862,199.145
1.42,0.22,-0.0395231,0.00296732,-0.00075581,0.00512649,142.195
1.42,0.23,-0.0439248,0.00379792,-0.0016214,0.000267002,132.286
1.42,0.24,-0.0451245,0.00385171,-0.00172764,0.000281063,127.789
